vxm_2_bpca_max_mse_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9719092081096798,0.7350687220187747,0.6369058837640402,0.7019873966543929,0.16066481771932387,0.7522249572163829,0.8472277423957157,0.7869253623549531,0.7289150062804277,0.7589719836698526,0.6425146498978607,0.7076069702551229,0.7361452605709377,0.8683675265669906,0.7619047612637517,0.7524384562182108,0.6195190925759579,0.4554334526530314,0.7934340293858653,0.0,0.04804804756708661,0.7314097830034362,0.614680006465783,0.7703242626192016,0.20024721631338424,0.7627082892116739,0.8598920203277389,0.8349988042863979,0.715340612880561,0.7827856490934688,0.7109837617746251,0.7763691239531099,0.79640044815208,0.49349038751710855,0.7859559425712683,0.0,0.22857142744546094,0.0,0.011764705743944639,0.0,0.3028720547552988,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9680343649535238,0.7187208400630604,0.5796800344440224,0.43220025147582003,0.1068322968095367,0.749765654117509,0.8230883773855713,0.8315058843016266,0.589595374947983,0.6523605144724729,0.6750776384412314,0.6457480643667664,0.5754973809937228,0.8471238217667981,0.5936818133064398,0.532912057575271,0.5610859703118282,0.19204152083009066,0.7271668601504185,0.0,0.13550135317748843,0.6973526661016466,0.5486210663515988,0.5193478093625759,0.0,0.7467739639605002,0.8047476632474427,0.8246860802432883,0.7654878345052823,0.6558429967387663,0.6363462628772286,0.5853073457418217,0.6281766577148368,0.2434625767045755,0.7232452622335689,0.05714284081633119,0.08733624377872276,0.0,0.0,0.0,0.19897958676072483,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9710741963415173,0.7172516281185426,0.5771535019622319,0.833202651353196,0.303937005480811,0.7159058615009672,0.7778546101327183,0.8823384913375886,0.762820511977431,0.828670482279553,0.7651747378598514,0.6920892466852363,0.6869565201671476,0.90677413807121,0.7503440675746912,0.7720528708603914,0.6753968227166792,0.5194424026453235,0.8071634690144598,0.23333329444445092,0.37262737076609703,0.7295740313581479,0.582257455142357,0.8129831265842478,0.37841945001201027,0.7468239797286284,0.8235510795848245,0.8751415332603492,0.7829197397910578,0.8085551171435594,0.7892481480536655,0.7232472318213957,0.7029501508063323,0.6401158534386977,0.8251113387931558,0.06557375974200659,0.34312354152389957,0.0,0.0019083969374599382,0.0,0.4161849650840323,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9696608579565721,0.7049158474433039,0.609245045591323,0.7311827953726932,0.19683257695890752,0.7604525570558237,0.8389494820749773,0.8130129700986549,0.7167654082561424,0.7460405663058901,0.7036723629993699,0.753989359195514,0.6374398804338886,0.8531425106298117,0.6886036556292465,0.7819720869778722,0.624060148029849,0.4591700103134538,0.8032658851237019,0.03703703017832774,0.10497614107037395,0.7245513363419025,0.6123252336124503,0.7603938257189071,0.11568409215034381,0.7306522310161555,0.8417462229528998,0.8669105356695522,0.7517537015279095,0.751239134579959,0.748841200431174,0.6940807100895315,0.8055955548125991,0.4584450371417893,0.7659937441242581,0.13043475425331427,0.24534161363694817,0.0,0.0,0.0,0.07228915488459868,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.97306412738007,0.7161777842345494,0.5932001437488059,0.8168358316338412,0.3681818139979339,0.7522716790755223,0.8310827782757909,0.8697876121039767,0.7858601317178916,0.7277472264630933,0.7322000474693273,0.7590522987972628,0.7029172440902615,0.8905915245850263,0.6609381311555418,0.7584428956987809,0.6886097848046349,0.42030134480332004,0.8020169844285059,0.0,0.37213565195109394,0.7006597587209874,0.5905542101173795,0.7576582310743771,0.37439378880316404,0.7702383627248036,0.8352963270440201,0.873024084110465,0.7798647623592978,0.7279657858609466,0.7468105967938896,0.6438827091568425,0.7160493809826934,0.4504950457879947,0.8061617450887936,0.0,0.2422407248884124,0.0,0.0025125627825054926,0.0,0.4631578849861498,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9709698514171231,0.6996696648716354,0.5806547538503262,0.7237483047638485,0.21215469378834592,0.774298952574042,0.8382433412123642,0.8288592172270512,0.7830236052448222,0.728124999401213,0.7642841608423112,0.6830958772310516,0.711101202159828,0.8941755275521067,0.6622825267108279,0.7720974659051661,0.5892714147747341,0.36094674289240575,0.8255153377491354,0.199999960000008,0.04766269433856376,0.7062947041893671,0.578305210224171,0.7203428051869967,0.12261580214419888,0.7860128395612586,0.8359357320104406,0.8249889229434407,0.7595818806204712,0.7632819359564736,0.767201581078915,0.7064659878025175,0.7760053903032905,0.4664031589828514,0.82208088647906,0.044444434567903424,0.08005427354101578,0.0,0.005970149194326874,0.0,0.3536585293971844,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9681613869402594,0.6684091897684937,0.5576578597174232,0.7521902375030545,0.1373390538291981,0.7546839350230028,0.7877286609567463,0.7974852726115117,0.6649102990027471,0.767865482701667,0.6872533069717824,0.6154317188749794,0.6458468864761507,0.8588474052873005,0.6251580887001089,0.6364399646335294,0.6243075900152897,0.3579766502142349,0.7796666383782515,0.1694914966963565,0.0885200547128627,0.6785443293910767,0.5543380088491255,0.7445598414339928,0.35856573228996375,0.7618433618047173,0.7697311614543811,0.8253671951538207,0.6131959766823695,0.7779996362515886,0.6815231486769296,0.7056852884957284,0.7203302354996639,0.6890101271316436,0.776915113201419,0.0,0.2673056428790967,0.0,0.002392344468991095,0.0,0.27419354285900116,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9711214932052146,0.7045137518802715,0.5547785184394474,0.6953597077326646,0.1343283562040544,0.7716523016681595,0.8021951019142217,0.8558510061062272,0.7452362297765124,0.7098637300696113,0.7743102650965394,0.5854166636176216,0.6314031162822853,0.8695716916647298,0.7048348683043433,0.6523319180728894,0.6047874909389962,0.3128679536344159,0.7846670192680913,0.0,0.3326180221822101,0.7334858454480871,0.5835036418108096,0.7220207414124701,0.22580644881133438,0.7775017178258968,0.8283006650753209,0.8765011445699039,0.8107831853701506,0.7720308285151538,0.7715871237034693,0.6840810139276159,0.6675159218662015,0.33425160390953534,0.8190303572097596,0.22641505161980158,0.23676012276666572,0.0,0.0,0.0,0.35700575130507195,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9677913655476257,0.7026201475773409,0.5632004582792997,0.6699627958341674,0.2562338756987629,0.7684564592578904,0.8431102680458983,0.778528087307434,0.7049275354145768,0.6954071134927207,0.5699922649458773,0.7225577238985516,0.7532325610030367,0.8860590014931369,0.7099928869932496,0.6599999985,0.6060606036118763,0.5391849495975866,0.7228755264234336,0.0,0.26433914992236784,0.7076735165042445,0.5762498856026561,0.6565462812207232,0.21621621367548516,0.7559907610537987,0.8371317595234302,0.7329331566115916,0.6905479291479211,0.6626182960073989,0.5618060685384788,0.6938122326690859,0.7122179635755259,0.5765212011277123,0.6788008560119296,0.0,0.20405405267531046,0.0,0.013437849793529117,0.0,0.4635036411769409,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9600119651675825,0.6784337890722295,0.5121381202679646,0.7189769973973524,0.4206747995644307,0.728429073643485,0.7979156769876701,0.7435598963795942,0.44021325161547903,0.7523353092743601,0.7017691644865857,0.6094992464872142,0.7082008885183283,0.8729444433690308,0.7420210146891673,0.6947994035815768,0.3491145632485921,0.5986949380204328,0.8047019304746416,0.3478260365469512,0.302172813025908,0.67398757027751,0.5219747341933666,0.6770838915365628,0.38636363453426303,0.7500300009750299,0.8202624479585632,0.7636562666865593,0.4325759179947166,0.7754343428077298,0.689871994857687,0.735321702555504,0.7294058893424715,0.6906584939459534,0.8023045260886382,0.22641505161980158,0.3273917776377163,0.0,0.0,0.0,0.5552560572067917,0.0,0.0,0.0,0.0,0.0,0.0
