Best model: dsc0.691.pth.tar
Trans dsc: 0.5184, Raw dsc: 0.3356, Time: 0.2670, Jac: 0.0000
Trans dsc: 0.4491, Raw dsc: 0.3376, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5565, Raw dsc: 0.3095, Time: 0.1282, Jac: 0.0000
Trans dsc: 0.5133, Raw dsc: 0.3019, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.5370, Raw dsc: 0.3095, Time: 0.1289, Jac: 0.0000
Trans dsc: 0.5167, Raw dsc: 0.2942, Time: 0.1289, Jac: 0.0000
Trans dsc: 0.5032, Raw dsc: 0.2707, Time: 0.1291, Jac: 0.0000
Trans dsc: 0.5136, Raw dsc: 0.3234, Time: 0.1729, Jac: 0.0000
Trans dsc: 0.5027, Raw dsc: 0.2786, Time: 0.1294, Jac: 0.0000
Trans dsc: 0.5227, Raw dsc: 0.3023, Time: 0.1293, Jac: 0.0000
Trans dsc: 0.5184, Raw dsc: 0.3437, Time: 0.1312, Jac: 0.0000
Trans dsc: 0.5023, Raw dsc: 0.3116, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.4887, Raw dsc: 0.3457, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5075, Raw dsc: 0.3465, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5476, Raw dsc: 0.3101, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5258, Raw dsc: 0.2783, Time: 0.1308, Jac: 0.0000
Trans dsc: 0.4913, Raw dsc: 0.3816, Time: 0.1298, Jac: 0.0000
Trans dsc: 0.5575, Raw dsc: 0.3015, Time: 0.1788, Jac: 0.0000
Trans dsc: 0.5380, Raw dsc: 0.2839, Time: 0.1304, Jac: 0.0000
Trans dsc: 0.5482, Raw dsc: 0.2905, Time: 0.1307, Jac: 0.0000
Trans dsc: 0.5283, Raw dsc: 0.3068, Time: 0.1309, Jac: 0.0000
Trans dsc: 0.5569, Raw dsc: 0.2621, Time: 0.1311, Jac: 0.0000
Trans dsc: 0.5171, Raw dsc: 0.3148, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.4887, Raw dsc: 0.2837, Time: 0.1291, Jac: 0.0000
Trans dsc: 0.5241, Raw dsc: 0.2747, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.5805, Raw dsc: 0.2826, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.5287, Raw dsc: 0.3398, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5257, Raw dsc: 0.3162, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.5093, Raw dsc: 0.2558, Time: 0.1289, Jac: 0.0000
Trans dsc: 0.4877, Raw dsc: 0.2774, Time: 0.1302, Jac: 0.0000
Trans dsc: 0.5568, Raw dsc: 0.2819, Time: 0.1300, Jac: 0.0000
Trans dsc: 0.5339, Raw dsc: 0.3119, Time: 0.1870, Jac: 0.0000
Trans dsc: 0.5077, Raw dsc: 0.3130, Time: 0.1484, Jac: 0.0000
Trans dsc: 0.5158, Raw dsc: 0.3172, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5306, Raw dsc: 0.2979, Time: 0.1305, Jac: 0.0000
Trans dsc: 0.5460, Raw dsc: 0.2632, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5495, Raw dsc: 0.3075, Time: 0.1289, Jac: 0.0000
Trans dsc: 0.5077, Raw dsc: 0.3329, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.4609, Raw dsc: 0.3184, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5181, Raw dsc: 0.3247, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.5544, Raw dsc: 0.3013, Time: 0.1293, Jac: 0.0000
Trans dsc: 0.5107, Raw dsc: 0.3109, Time: 0.1311, Jac: 0.0000
Trans dsc: 0.4552, Raw dsc: 0.2891, Time: 0.1309, Jac: 0.0000
Trans dsc: 0.5350, Raw dsc: 0.2980, Time: 0.1762, Jac: 0.0000
Trans dsc: 0.5085, Raw dsc: 0.2778, Time: 0.1417, Jac: 0.0000
Trans dsc: 0.4991, Raw dsc: 0.2608, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.5516, Raw dsc: 0.2952, Time: 0.1310, Jac: 0.0000
Trans dsc: 0.5302, Raw dsc: 0.2904, Time: 0.1289, Jac: 0.0000
Trans dsc: 0.5468, Raw dsc: 0.2971, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.5667, Raw dsc: 0.3392, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.5096, Raw dsc: 0.2946, Time: 0.1292, Jac: 0.0000
Trans dsc: 0.5513, Raw dsc: 0.2877, Time: 0.1292, Jac: 0.0000
Trans dsc: 0.5364, Raw dsc: 0.3076, Time: 0.1298, Jac: 0.0000
Trans dsc: 0.5292, Raw dsc: 0.3637, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.5279, Raw dsc: 0.2783, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5094, Raw dsc: 0.2535, Time: 0.1648, Jac: 0.0000
Trans dsc: 0.4992, Raw dsc: 0.2746, Time: 0.1417, Jac: 0.0000
Trans dsc: 0.5080, Raw dsc: 0.2773, Time: 0.1313, Jac: 0.0000
Trans dsc: 0.5217, Raw dsc: 0.2890, Time: 0.1305, Jac: 0.0000
Trans dsc: 0.4937, Raw dsc: 0.2733, Time: 0.1308, Jac: 0.0000
Trans dsc: 0.4869, Raw dsc: 0.2958, Time: 0.1311, Jac: 0.0000
Trans dsc: 0.5619, Raw dsc: 0.2776, Time: 0.1307, Jac: 0.0000
Trans dsc: 0.5528, Raw dsc: 0.2858, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.4986, Raw dsc: 0.2747, Time: 0.1308, Jac: 0.0000
Trans dsc: 0.5016, Raw dsc: 0.2999, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.4771, Raw dsc: 0.3134, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.5404, Raw dsc: 0.2698, Time: 0.1317, Jac: 0.0000
Trans dsc: 0.4928, Raw dsc: 0.3039, Time: 0.1537, Jac: 0.0000
Trans dsc: 0.5627, Raw dsc: 0.2955, Time: 0.1294, Jac: 0.0000
Trans dsc: 0.5879, Raw dsc: 0.2644, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.5280, Raw dsc: 0.3112, Time: 0.1288, Jac: 0.0000
