vxm_2_bpca_mse_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9720787445700353,0.7353962548446954,0.6387974443575885,0.6979892100549342,0.15781922298681172,0.7512879017780603,0.8445863181987439,0.7819821409327282,0.7118827990104365,0.7572222651239159,0.6449197849466671,0.7266069946029007,0.7565926754760147,0.8762059930873097,0.7688952262655019,0.7622873327923267,0.6192744572397417,0.49033062700979024,0.7973171237355431,0.0,0.041874376451900536,0.7316752108951825,0.6165239139381795,0.7596076942544902,0.22420381879995135,0.7712213381443094,0.8587337880623385,0.8314204073652862,0.7236222935024341,0.7849813781371275,0.7237442908604561,0.7816450209682727,0.7985595300505075,0.5177215157106233,0.793504901353014,0.0,0.24698795056732956,0.0,0.011723329288120407,0.0,0.293814425417154,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_1,0.9681694285436663,0.7212021879042959,0.583942179381488,0.4297168073337868,0.13892529306782053,0.7535485664826169,0.8234711303516322,0.8374209856700779,0.5942525697412964,0.6617759953409742,0.7004716967364943,0.6235878869245916,0.5914544294012747,0.8505535053973986,0.6349846384072728,0.5695503534852738,0.5638926759259086,0.24196277291063645,0.7479061970285543,0.0,0.16925246587796242,0.6967486086949951,0.5464515377056451,0.5120490940637262,0.0,0.7513838941469586,0.8044507480636549,0.8246857875041972,0.7685079355320534,0.6841214705814218,0.6210166907795587,0.6057420131361282,0.6554004392471211,0.3002633863014628,0.7500893169434715,0.04878047590720099,0.06577777719308643,0.0,0.0,0.0,0.19796953812260057,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9699472231540993,0.7155512768356794,0.5719461564983159,0.8343955845346642,0.3040123433332381,0.7232764644618332,0.7848559886642813,0.8772187894100133,0.754196775148197,0.837299345940712,0.7717808757392746,0.6648199419674715,0.6971780870353852,0.9068140213664287,0.7537031918725704,0.7815468092766708,0.6298778059523933,0.48911465537652643,0.7977451308526263,0.24561399199754524,0.37274548911450156,0.7264368883454132,0.5705161992307771,0.8005669498080011,0.3880825027648396,0.7541195307727363,0.8306221356113284,0.8729965505817627,0.7653095739649154,0.8096156931905325,0.7834047511036137,0.7371055683050813,0.724689163347655,0.621037459502612,0.8223026535485155,0.09999998333333611,0.29845142985240997,0.0,0.0019093078667813464,0.0,0.4108416489180935,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_3,0.9698654020411095,0.7047907340196861,0.6118812479950262,0.7260361508462497,0.1935483848669541,0.7699358831834184,0.846458430256953,0.8041655860322506,0.7076182495734427,0.7453564163837132,0.6993885857687014,0.7413793078866733,0.6883308702209548,0.8613976142752391,0.6775990579226371,0.7784629962560176,0.5995475090514799,0.4983164949608317,0.7911347003362971,0.0338982993392713,0.10792349653057721,0.7217038236431788,0.610353296897956,0.7492167042580297,0.129870128464609,0.7419713115906205,0.8459698782840728,0.8625142592459437,0.7415195390383659,0.7496331077563596,0.734027776503424,0.698042225951599,0.8124869910250011,0.4969450068096062,0.7563781885540068,0.08695650283554286,0.293965960319928,0.0,0.0,0.0,0.07017543683770835,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9724698181621738,0.710928561575461,0.5863452979681205,0.8060291343201006,0.35152838044182994,0.7544030778858714,0.8298750118182397,0.8807715753667914,0.8011718242247207,0.7324951814880286,0.7319941187359281,0.7530474006634428,0.6966247239931601,0.8833967955881534,0.6475846131891286,0.7452974053246125,0.7177489146417795,0.4213036532487786,0.8029955940061713,0.0,0.3895619721382855,0.6976018168040272,0.5856681293516736,0.7496578462878319,0.3758262476314802,0.7749339031403122,0.8378520855990811,0.8812634922842498,0.7757115739712693,0.7263370697240057,0.7441410950854287,0.6575895101789314,0.7114873017860042,0.44045676639105413,0.8095107945618012,0.0,0.31034482515403744,0.0,0.0025125627825054926,0.0,0.458947358759003,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_5,0.9699596216848069,0.697934513901127,0.5763681069810734,0.7129077164315296,0.19326818465506856,0.7745171671742175,0.8381971915902102,0.8167208720027163,0.7844259226465656,0.7446895753754699,0.7806884590156128,0.6953010253476467,0.7173375293066393,0.8948300954099173,0.6616339534795891,0.7440130184979935,0.5902693985111805,0.39880952084219107,0.8264855125008304,0.13793101070154987,0.030384271399604368,0.7021819103683051,0.568014644590136,0.6978542211340387,0.1229611025977277,0.7866281467088655,0.8312638315930572,0.8233067724983532,0.7270531392185349,0.7521694126644619,0.7761842660230677,0.6918005066003378,0.7646793117328833,0.4911804579974189,0.8178124485472027,0.04878047590720099,0.07333333284444445,0.0,0.009920634822215925,0.0,0.3893442543167161,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_6,0.9667479895089995,0.6631156603184295,0.550492868878515,0.7396391810199823,0.13404825557576067,0.7516305465474448,0.7861978964269712,0.7959303459225542,0.6474962808037974,0.7720956079561835,0.6869767425884262,0.6399766199883792,0.5948086216568222,0.8482200978435227,0.6124697915780862,0.6357321460524252,0.6277705325040074,0.3791821526098313,0.776367830606157,0.17857139668367916,0.09756097492988867,0.6726567271923285,0.5410508192119468,0.7442661958953489,0.3175757537263545,0.754921046757776,0.7673343204759739,0.8278294949398189,0.6400483960797962,0.7757729614871948,0.7013949418016675,0.6721522745393553,0.7293577963064276,0.693597555689043,0.77896719981248,0.0,0.27725856553863676,0.0,0.00238948623190578,0.0,0.26033057313366587,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_7,0.9699302573858839,0.7005428329509754,0.5508200893485249,0.6892905862384661,0.13056379628243625,0.773219713498423,0.7971003771878764,0.8551297102299937,0.7770733590670548,0.7047943969251262,0.7505080136588215,0.5752608019112727,0.6241056669672381,0.8471647424585848,0.703748980538153,0.5959258115052423,0.6382978692538787,0.2985074602113809,0.7669801456226226,0.0,0.37152391132898877,0.7273725556333406,0.5693867380904418,0.7185415735764838,0.21733821468451509,0.7609820483735528,0.8229905544686656,0.8836977023173357,0.8175554978086814,0.7860928930140213,0.7859786614718515,0.6942164348578013,0.6771653526107052,0.3442028954329448,0.8100810073716643,0.2448979092045083,0.3338582650877302,0.0,0.0,0.0,0.37837837107377664,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_8,0.9674848193698375,0.7019531317892822,0.5631393869097475,0.6582504081101785,0.22111388012374164,0.7684007323743006,0.8435828180631,0.7837387206827487,0.7042973278695734,0.6804742834304941,0.5825905545560581,0.7298787183760429,0.7589153031966656,0.8894906432552999,0.6948169620380419,0.6341354709578088,0.6060358865985486,0.5514195548806338,0.723548982829169,0.0,0.24957554966404458,0.708127693427919,0.5730727572892026,0.6554759688033922,0.24036280906618132,0.7586140471554708,0.836578979980226,0.756756756373744,0.6909745659565896,0.6652512379765265,0.5709528204052677,0.7044410407130519,0.7254178408391191,0.6047648099892192,0.7007332370544008,0.0,0.24682651447936169,0.0,0.013437849793529117,0.0,0.41467889147378184,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_9,0.9590719136200456,0.6716641271109113,0.507229180674008,0.7143145159490134,0.40869564921235035,0.7289135511889855,0.7973000904628407,0.7227254010278276,0.38803046747766,0.7463648374534329,0.6710580471983161,0.6099381518235485,0.6605274159469916,0.8573849475232788,0.7191278486430844,0.6996777008506366,0.3340425520069413,0.6003372630662963,0.7832250436391655,0.2727272314049649,0.28012048052148353,0.667779558316818,0.5154062604801637,0.6777646297660916,0.38409961501867995,0.7518915317620326,0.8220181940123809,0.7635665290734889,0.4201107792712923,0.7692435709667608,0.664290486379393,0.7131665873400976,0.7218425696738988,0.683746992123723,0.7996680491289062,0.18181814876033658,0.36263736130902063,0.0,0.0005917159745807219,0.0,0.5875542606721526,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
