Best model: dsc0.689.pth.tar
Trans dsc: 0.5218, Raw dsc: 0.3356, Time: 0.2570, Jac: 1.0000
Trans dsc: 0.4574, Raw dsc: 0.3376, Time: 0.1302, Jac: 0.0000
Trans dsc: 0.5544, Raw dsc: 0.3095, Time: 0.1298, Jac: 1.0000
Trans dsc: 0.5143, Raw dsc: 0.3019, Time: 0.1306, Jac: 0.0000
Trans dsc: 0.5382, Raw dsc: 0.3095, Time: 0.1311, Jac: 1.0000
Trans dsc: 0.5144, Raw dsc: 0.2942, Time: 0.1301, Jac: 1.0000
Trans dsc: 0.5009, Raw dsc: 0.2707, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5151, Raw dsc: 0.3234, Time: 0.1329, Jac: 1.0000
Trans dsc: 0.5039, Raw dsc: 0.2786, Time: 0.1323, Jac: 1.0000
Trans dsc: 0.5135, Raw dsc: 0.3023, Time: 0.1329, Jac: 1.0000
Trans dsc: 0.5149, Raw dsc: 0.3437, Time: 0.1821, Jac: 1.0000
Trans dsc: 0.5042, Raw dsc: 0.3116, Time: 0.1300, Jac: 1.0000
Trans dsc: 0.4921, Raw dsc: 0.3457, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.4996, Raw dsc: 0.3465, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5430, Raw dsc: 0.3101, Time: 0.1293, Jac: 1.0000
Trans dsc: 0.5161, Raw dsc: 0.2783, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.4927, Raw dsc: 0.3816, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5623, Raw dsc: 0.3015, Time: 0.1299, Jac: 1.0000
Trans dsc: 0.5408, Raw dsc: 0.2839, Time: 0.1293, Jac: 1.0000
Trans dsc: 0.5326, Raw dsc: 0.2905, Time: 0.1312, Jac: 1.0000
Trans dsc: 0.5295, Raw dsc: 0.3068, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5545, Raw dsc: 0.2621, Time: 0.1382, Jac: 1.0000
Trans dsc: 0.5242, Raw dsc: 0.3148, Time: 0.1300, Jac: 1.0000
Trans dsc: 0.4770, Raw dsc: 0.2837, Time: 0.1834, Jac: 1.0000
Trans dsc: 0.5228, Raw dsc: 0.2747, Time: 0.1297, Jac: 1.0000
Trans dsc: 0.5695, Raw dsc: 0.2826, Time: 0.1299, Jac: 1.0000
Trans dsc: 0.5305, Raw dsc: 0.3398, Time: 0.1314, Jac: 1.0000
Trans dsc: 0.5248, Raw dsc: 0.3162, Time: 0.1305, Jac: 1.0000
Trans dsc: 0.5098, Raw dsc: 0.2558, Time: 0.1300, Jac: 1.0000
Trans dsc: 0.4898, Raw dsc: 0.2774, Time: 0.1314, Jac: 1.0000
Trans dsc: 0.5488, Raw dsc: 0.2819, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5343, Raw dsc: 0.3119, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5132, Raw dsc: 0.3130, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5183, Raw dsc: 0.3172, Time: 0.1307, Jac: 1.0000
Trans dsc: 0.5284, Raw dsc: 0.2979, Time: 0.1290, Jac: 1.0000
Trans dsc: 0.5322, Raw dsc: 0.2632, Time: 0.1305, Jac: 1.0000
Trans dsc: 0.5500, Raw dsc: 0.3075, Time: 0.1313, Jac: 1.0000
Trans dsc: 0.5197, Raw dsc: 0.3329, Time: 0.1293, Jac: 1.0000
Trans dsc: 0.4646, Raw dsc: 0.3184, Time: 0.1299, Jac: 1.0000
Trans dsc: 0.5258, Raw dsc: 0.3247, Time: 0.1291, Jac: 1.0000
Trans dsc: 0.5564, Raw dsc: 0.3013, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5203, Raw dsc: 0.3109, Time: 0.1291, Jac: 1.0000
Trans dsc: 0.4588, Raw dsc: 0.2891, Time: 0.1297, Jac: 1.0000
Trans dsc: 0.5348, Raw dsc: 0.2980, Time: 0.1315, Jac: 1.0000
Trans dsc: 0.5007, Raw dsc: 0.2778, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.4895, Raw dsc: 0.2608, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5396, Raw dsc: 0.2952, Time: 0.1312, Jac: 1.0000
Trans dsc: 0.5299, Raw dsc: 0.2904, Time: 0.1290, Jac: 1.0000
Trans dsc: 0.5465, Raw dsc: 0.2971, Time: 0.1308, Jac: 1.0000
Trans dsc: 0.5691, Raw dsc: 0.3392, Time: 0.1313, Jac: 1.0000
Trans dsc: 0.5152, Raw dsc: 0.2946, Time: 0.1316, Jac: 1.0000
Trans dsc: 0.5527, Raw dsc: 0.2877, Time: 0.1316, Jac: 1.0000
Trans dsc: 0.5443, Raw dsc: 0.3076, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5313, Raw dsc: 0.3637, Time: 0.1298, Jac: 1.0000
Trans dsc: 0.5323, Raw dsc: 0.2783, Time: 0.1292, Jac: 1.0000
Trans dsc: 0.4964, Raw dsc: 0.2535, Time: 0.1291, Jac: 1.0000
Trans dsc: 0.4993, Raw dsc: 0.2746, Time: 0.1349, Jac: 1.0000
Trans dsc: 0.5177, Raw dsc: 0.2773, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5161, Raw dsc: 0.2890, Time: 0.1300, Jac: 1.0000
Trans dsc: 0.4948, Raw dsc: 0.2733, Time: 0.1293, Jac: 1.0000
Trans dsc: 0.4945, Raw dsc: 0.2958, Time: 0.1303, Jac: 1.0000
Trans dsc: 0.5543, Raw dsc: 0.2776, Time: 0.1319, Jac: 1.0000
Trans dsc: 0.5501, Raw dsc: 0.2858, Time: 0.1307, Jac: 1.0000
Trans dsc: 0.4914, Raw dsc: 0.2747, Time: 0.1318, Jac: 1.0000
Trans dsc: 0.5004, Raw dsc: 0.2999, Time: 0.1310, Jac: 1.0000
Trans dsc: 0.4823, Raw dsc: 0.3134, Time: 0.1312, Jac: 1.0000
Trans dsc: 0.5370, Raw dsc: 0.2698, Time: 0.1317, Jac: 0.0000
Trans dsc: 0.4882, Raw dsc: 0.3039, Time: 0.1310, Jac: 1.0000
Trans dsc: 0.5648, Raw dsc: 0.2955, Time: 0.1297, Jac: 1.0000
Trans dsc: 0.5765, Raw dsc: 0.2644, Time: 0.1317, Jac: 1.0000
Trans dsc: 0.5307, Raw dsc: 0.3112, Time: 0.1489, Jac: 1.0000
Trans dsc: 0.5576, Raw dsc: 0.2903, Time: 0.1326, Jac: 1.0000
Trans dsc: 0.5568, Raw dsc: 0.3060, Time: 0.1292, Jac: 1.0000
Trans dsc: 0.5184, Raw dsc: 0.3185, Time: 0.1299, Jac: 0.0000
Trans dsc: 0.5223, Raw dsc: 0.3273, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5167, Raw dsc: 0.2640, Time: 0.1300, Jac: 1.0000
Trans dsc: 0.5283, Raw dsc: 0.3136, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.4987, Raw dsc: 0.3152, Time: 0.1310, Jac: 1.0000
