vxm_2_bpca_revert_mse_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9591389298186295,0.6252544681412486,0.5238007137596655,0.38224527131266767,0.0,0.6332502035523716,0.7003912729223665,0.4997108667320356,0.46313716860300025,0.28617518931587743,0.2619785019821853,0.07413441924996163,0.2095160297947396,0.6716202798143003,0.5425142560707173,0.3101401085012109,0.15434782552772525,0.5028213134619354,0.5061676475286181,0.0,0.0,0.6264357754652427,0.4634877650377101,0.5139714756051453,0.03160919494814375,0.4703144899406499,0.6055181238505747,0.7352123855025743,0.5075277743665998,0.6538069468722599,0.6362743159043539,0.5560796640844867,0.3736413035017181,0.027620841006774383,0.606994485529878,0.0,0.1643973768815059,0.0,0.0,0.0,0.07522123727386644,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9596389025435417,0.6545418560757815,0.5243431904630009,0.2368060066155469,0.0,0.6606884580414886,0.726314400638148,0.6244124483576209,0.5509834361400318,0.46201126817311655,0.3497757840714062,0.15916325530166778,0.342163354653061,0.7427571455144926,0.5014370564270578,0.26417112228831247,0.15805471055990136,0.4794520506896229,0.6153075698061033,0.0,0.09936305605906935,0.6109714954981045,0.41739446003853053,0.27651515130567034,0.0,0.5508481622004723,0.6547336551390548,0.6795903434634809,0.3532061154993409,0.5956084980037262,0.5660590104001898,0.453254437422826,0.4861111099054784,0.060150375437340226,0.6063637142309531,0.0,0.010230178940919191,0.0,0.0,0.0,0.03465346448877563,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9554390357757303,0.6270764828166808,0.4942440378777832,0.5063951590614171,0.08278145626836543,0.6632500642124002,0.7071490718744817,0.4745490173988498,0.3629523067799576,0.3409556590927337,0.19483763489833966,0.052930056510661405,0.15153010821438767,0.6369982546924087,0.42244466854399426,0.3077765599458473,0.10874524673480894,0.21248142487012314,0.4479033763307788,0.0,0.043478260654751674,0.5963422642188705,0.4078741737930923,0.4674842385061386,0.10008203363345337,0.6003518392403497,0.6805696920381819,0.6010400795287912,0.3641631375482916,0.5645332241626309,0.5110132148357766,0.5788808659035372,0.4199342261069207,0.0,0.5117299573740676,0.0,0.013812154632540723,0.0,0.0009555661683919437,0.0,0.05668016117840539,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9571986098831886,0.6132786930971613,0.5075037729134897,0.3320598083429745,0.06934812663872224,0.5586826189075889,0.6952753196776039,0.48006379564058843,0.3543618568037041,0.2620780937847797,0.17773851558703443,0.01998572441118585,0.2669655588608813,0.6466570378758715,0.4306374723837461,0.322909090126281,0.11715481126985616,0.4192021607897082,0.41499525897819617,0.0,0.02573266600619967,0.6113934238341422,0.4618359350877229,0.4273786583964682,0.045512009538406964,0.34159386691246363,0.5916553889773731,0.6738327489943021,0.372170832147047,0.5840195177005035,0.5171116278138118,0.5840792074581551,0.3034750694939023,0.0,0.4681129874285724,0.044444434567903424,0.11534391473363008,0.0,0.0,0.0,0.029723990876348392,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9605183889206528,0.6466773456464826,0.5349228019151295,0.3743374152922969,0.07942238171573548,0.6215686813745775,0.6624700158111325,0.5003785827472264,0.4823119077200898,0.469904675015974,0.3491760201834822,0.040163934261623215,0.13798870972613694,0.625789501048181,0.35921366127957344,0.26917057832767194,0.10077836910783133,0.5899843459312649,0.5210462493321962,0.0,0.11317567471980004,0.5993683273518046,0.43368725910196454,0.36208934036747265,0.021208907516342444,0.5060602626568701,0.6239934286294476,0.6137566134111468,0.23687977070982852,0.46719970882500483,0.5774714815174157,0.4132576884510225,0.3049045655837049,0.06003159510243606,0.5548951044100567,0.0,0.012260536304516963,0.0,0.0,0.0,0.10855949668978086,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9562221693739298,0.6271492450649662,0.5121508654170386,0.3585167557215364,0.03491271776916811,0.5433125818532948,0.673866928764366,0.4941512123185206,0.5089176636832181,0.4156296661559402,0.22250859058739564,0.017774343053422167,0.07468477188485749,0.610534628348648,0.30067226865489727,0.23944001873174026,0.11259619233456382,0.5649072712916743,0.4586411230955101,0.0,0.003663003629459674,0.5967990950059063,0.41863115290932945,0.37138686109700036,0.0,0.48879575286705895,0.6431921086241921,0.7060164532133926,0.1739833639394832,0.3839074840101739,0.49298597084616796,0.46728499117429595,0.20871985109295027,0.0013422818701860277,0.556419920958842,0.0,0.1567825483518572,0.0,0.0,0.0,0.1892393285855412,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.952719582879224,0.5657654083059551,0.48826331221095726,0.32002542393833655,0.0,0.6533143937847267,0.7067810063693586,0.38155259153766546,0.22822174198677497,0.21272274008612063,0.07211759285227931,0.03199052123225556,0.07666506929404632,0.5751067121447704,0.3042269718161344,0.12890839240562701,0.045410936855097735,0.298676745759199,0.39592100971518207,0.0,0.0,0.5487316832808505,0.3985105431941174,0.5117845115691143,0.04312668405489644,0.5477451960476243,0.6789578097686181,0.6199750930909215,0.47959552127170396,0.42378104003645006,0.45428758356035875,0.4684562453062736,0.3286075941047909,0.0015163002159492023,0.5298946840286137,0.0,0.02176165791833338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9567726578971198,0.6279905587790715,0.4822608185390391,0.3696502400437757,0.0,0.6160534239580847,0.6252780764747059,0.5068315234522149,0.5751734765160968,0.513723736688669,0.318627450270438,0.09337779850701382,0.06403230440140667,0.6376612390502464,0.5190624680423876,0.4004832364829863,0.10858468627106874,0.5903009984088545,0.469891919308722,0.0,0.10031347857561673,0.6006003668122858,0.40911979440362084,0.31556232526303485,0.07445442779904457,0.4567239475388291,0.6060083830668452,0.6144792956786269,0.3394562817297866,0.5317496568919601,0.5728491124668199,0.5521121559194686,0.33721833634494086,0.007017543798091721,0.511724137489893,0.08510636487098619,0.0,0.0,0.0,0.0,0.2342954119814022,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9544151863093691,0.6223456191200094,0.4995693496061625,0.2641583961565406,0.021818181619834714,0.5382512934753213,0.6679566655517758,0.4085036635130623,0.36170455802387236,0.14501076801067977,0.12876029866112226,0.03576751104408528,0.14136018051908736,0.5967331677550898,0.35609934226068357,0.09105843677292083,0.07321925955742435,0.35400516567180124,0.3971966061252699,0.0,0.05157131304132705,0.6104876425788597,0.43043408109863657,0.3535779396344702,0.03381014260324912,0.4612655232403606,0.6205397505220063,0.687837632812724,0.3330790187105406,0.5884156174665895,0.591142367247401,0.43896268145029127,0.35896309235728674,0.05097087347711849,0.5627184173078159,0.0,0.01900882539708876,0.0,0.0,0.0,0.02653399624321731,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9438824167144998,0.5775909309049305,0.4165455949257569,0.4515652218625441,0.056231002612226424,0.6422110254744656,0.7202484009386404,0.287881937077592,0.1237113400690485,0.203781867124952,0.05377720859202474,0.2742533240151443,0.2040373340481065,0.680502583802978,0.46846669248278805,0.2479185931300691,0.056919245617505346,0.1172472377464126,0.40703258970237344,0.0,0.07899999960500001,0.5566370793918999,0.3827496418646034,0.5876004843663691,0.2715686261197616,0.5241615246734188,0.622850210474356,0.624512187871437,0.6255253255634535,0.5599255683329734,0.4904458587569476,0.5655965495298548,0.30304608096056734,0.011102299674049963,0.550254975694806,0.0,0.0637181406907116,0.0,0.0011858879300744502,0.0,0.07869742091319647,0.0,0.0,0.0,0.0,0.0,0.0
