Best model: dsc0.418.pth.tar
Trans dsc: 0.3338, Raw dsc: 0.3356, Time: 0.3252, Jac: 0.0000
Trans dsc: 0.3362, Raw dsc: 0.3376, Time: 0.1441, Jac: 0.0000
Trans dsc: 0.3102, Raw dsc: 0.3095, Time: 0.1433, Jac: 0.0000
Trans dsc: 0.3009, Raw dsc: 0.3019, Time: 0.1449, Jac: 0.0000
Trans dsc: 0.3116, Raw dsc: 0.3095, Time: 0.1987, Jac: 0.0000
Trans dsc: 0.2953, Raw dsc: 0.2942, Time: 0.1622, Jac: 0.0000
Trans dsc: 0.2716, Raw dsc: 0.2707, Time: 0.1429, Jac: 0.0000
Trans dsc: 0.3223, Raw dsc: 0.3234, Time: 0.1422, Jac: 0.0000
Trans dsc: 0.2799, Raw dsc: 0.2786, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.3007, Raw dsc: 0.3023, Time: 0.1422, Jac: 0.0000
Trans dsc: 0.3417, Raw dsc: 0.3437, Time: 0.1439, Jac: 0.0000
Trans dsc: 0.3118, Raw dsc: 0.3116, Time: 0.1442, Jac: 0.0000
Trans dsc: 0.3438, Raw dsc: 0.3457, Time: 0.1438, Jac: 0.0000
Trans dsc: 0.3424, Raw dsc: 0.3465, Time: 0.1429, Jac: 0.0000
Trans dsc: 0.3118, Raw dsc: 0.3101, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.2781, Raw dsc: 0.2783, Time: 0.1419, Jac: 0.0000
Trans dsc: 0.3801, Raw dsc: 0.3816, Time: 0.1423, Jac: 0.0000
Trans dsc: 0.2996, Raw dsc: 0.3015, Time: 0.1432, Jac: 0.0000
Trans dsc: 0.2843, Raw dsc: 0.2839, Time: 0.1443, Jac: 0.0000
Trans dsc: 0.2912, Raw dsc: 0.2905, Time: 0.2014, Jac: 0.0000
Trans dsc: 0.3066, Raw dsc: 0.3068, Time: 0.1643, Jac: 0.0000
Trans dsc: 0.2613, Raw dsc: 0.2621, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.3146, Raw dsc: 0.3148, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.2814, Raw dsc: 0.2837, Time: 0.1417, Jac: 0.0000
Trans dsc: 0.2755, Raw dsc: 0.2747, Time: 0.1433, Jac: 0.0000
Trans dsc: 0.2817, Raw dsc: 0.2826, Time: 0.1417, Jac: 0.0000
Trans dsc: 0.3380, Raw dsc: 0.3398, Time: 0.1423, Jac: 0.0000
Trans dsc: 0.3163, Raw dsc: 0.3162, Time: 0.1433, Jac: 0.0000
Trans dsc: 0.2551, Raw dsc: 0.2558, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.2775, Raw dsc: 0.2774, Time: 0.1438, Jac: 0.0000
Trans dsc: 0.2836, Raw dsc: 0.2819, Time: 0.1428, Jac: 0.0000
Trans dsc: 0.3101, Raw dsc: 0.3119, Time: 0.1420, Jac: 0.0000
Trans dsc: 0.3135, Raw dsc: 0.3130, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.3150, Raw dsc: 0.3172, Time: 0.1438, Jac: 0.0000
Trans dsc: 0.2990, Raw dsc: 0.2979, Time: 0.1439, Jac: 0.0000
Trans dsc: 0.2633, Raw dsc: 0.2632, Time: 0.1436, Jac: 0.0000
Trans dsc: 0.3069, Raw dsc: 0.3075, Time: 0.1733, Jac: 0.0000
Trans dsc: 0.3329, Raw dsc: 0.3329, Time: 0.1445, Jac: 0.0000
Trans dsc: 0.3156, Raw dsc: 0.3184, Time: 0.1426, Jac: 0.0000
Trans dsc: 0.3227, Raw dsc: 0.3247, Time: 0.1436, Jac: 0.0000
Trans dsc: 0.3004, Raw dsc: 0.3013, Time: 0.1427, Jac: 0.0000
Trans dsc: 0.3096, Raw dsc: 0.3109, Time: 0.1414, Jac: 0.0000
Trans dsc: 0.2868, Raw dsc: 0.2891, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.2965, Raw dsc: 0.2980, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.2772, Raw dsc: 0.2778, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.2598, Raw dsc: 0.2608, Time: 0.1436, Jac: 0.0000
Trans dsc: 0.2964, Raw dsc: 0.2952, Time: 0.1443, Jac: 0.0000
Trans dsc: 0.2899, Raw dsc: 0.2904, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.2971, Raw dsc: 0.2971, Time: 0.1447, Jac: 0.0000
Trans dsc: 0.3390, Raw dsc: 0.3392, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.2938, Raw dsc: 0.2946, Time: 0.1448, Jac: 0.0000
Trans dsc: 0.2868, Raw dsc: 0.2877, Time: 0.1449, Jac: 0.0000
Trans dsc: 0.3055, Raw dsc: 0.3076, Time: 0.1683, Jac: 0.0000
Trans dsc: 0.3644, Raw dsc: 0.3637, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.2798, Raw dsc: 0.2783, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.2545, Raw dsc: 0.2535, Time: 0.1419, Jac: 0.0000
Trans dsc: 0.2775, Raw dsc: 0.2746, Time: 0.1423, Jac: 0.0000
Trans dsc: 0.2791, Raw dsc: 0.2773, Time: 0.1425, Jac: 0.0000
Trans dsc: 0.2904, Raw dsc: 0.2890, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.2742, Raw dsc: 0.2733, Time: 0.1419, Jac: 0.0000
Trans dsc: 0.2957, Raw dsc: 0.2958, Time: 0.1436, Jac: 0.0000
Trans dsc: 0.2774, Raw dsc: 0.2776, Time: 0.1420, Jac: 0.0000
Trans dsc: 0.2864, Raw dsc: 0.2858, Time: 0.1420, Jac: 0.0000
Trans dsc: 0.2772, Raw dsc: 0.2747, Time: 0.1422, Jac: 0.0000
Trans dsc: 0.3004, Raw dsc: 0.2999, Time: 0.1438, Jac: 0.0000
Trans dsc: 0.3115, Raw dsc: 0.3134, Time: 0.1417, Jac: 0.0000
Trans dsc: 0.2688, Raw dsc: 0.2698, Time: 0.1442, Jac: 0.0000
Trans dsc: 0.3045, Raw dsc: 0.3039, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.2968, Raw dsc: 0.2955, Time: 0.1434, Jac: 0.0000
Trans dsc: 0.2641, Raw dsc: 0.2644, Time: 0.1459, Jac: 0.0000
Trans dsc: 0.3119, Raw dsc: 0.3112, Time: 0.1450, Jac: 0.0000
Trans dsc: 0.2907, Raw dsc: 0.2903, Time: 0.1939, Jac: 0.0000
Trans dsc: 0.3055, Raw dsc: 0.3060, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.3150, Raw dsc: 0.3185, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.3255, Raw dsc: 0.3273, Time: 0.1442, Jac: 0.0000
Trans dsc: 0.2610, Raw dsc: 0.2640, Time: 0.1439, Jac: 0.0000
Trans dsc: 0.3132, Raw dsc: 0.3136, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.3117, Raw dsc: 0.3152, Time: 0.1440, Jac: 0.0000
Trans dsc: 0.3920, Raw dsc: 0.3927, Time: 0.1434, Jac: 0.0000
Trans dsc: 0.2906, Raw dsc: 0.2911, Time: 0.1426, Jac: 0.0000
Trans dsc: 0.2908, Raw dsc: 0.2904, Time: 0.1420, Jac: 0.0000
Trans dsc: 0.3079, Raw dsc: 0.3062, Time: 0.1440, Jac: 0.0000
Trans dsc: 0.2726, Raw dsc: 0.2741, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.2400, Raw dsc: 0.2417, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.3194, Raw dsc: 0.3193, Time: 0.1429, Jac: 0.0000
Trans dsc: 0.3045, Raw dsc: 0.3049, Time: 0.1433, Jac: 0.0000
