Best model: dsc0.690.pth.tar
Trans dsc: 0.5215, Raw dsc: 0.3356, Time: 0.2111, Jac: 1.0000
Trans dsc: 0.4498, Raw dsc: 0.3376, Time: 0.0653, Jac: 1.0000
Trans dsc: 0.5545, Raw dsc: 0.3095, Time: 0.0648, Jac: 1.0000
Trans dsc: 0.5156, Raw dsc: 0.3019, Time: 0.0654, Jac: 1.0000
Trans dsc: 0.5389, Raw dsc: 0.3095, Time: 0.0636, Jac: 1.0000
Trans dsc: 0.5176, Raw dsc: 0.2942, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5021, Raw dsc: 0.2707, Time: 0.0656, Jac: 1.0000
Trans dsc: 0.5161, Raw dsc: 0.3234, Time: 0.0723, Jac: 1.0000
Trans dsc: 0.4977, Raw dsc: 0.2786, Time: 0.0637, Jac: 1.0000
Trans dsc: 0.5179, Raw dsc: 0.3023, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5159, Raw dsc: 0.3437, Time: 0.0651, Jac: 1.0000
Trans dsc: 0.5023, Raw dsc: 0.3116, Time: 0.0651, Jac: 1.0000
Trans dsc: 0.4901, Raw dsc: 0.3457, Time: 0.0659, Jac: 1.0000
Trans dsc: 0.5028, Raw dsc: 0.3465, Time: 0.0655, Jac: 1.0000
Trans dsc: 0.5450, Raw dsc: 0.3101, Time: 0.0635, Jac: 1.0000
Trans dsc: 0.5211, Raw dsc: 0.2783, Time: 0.0660, Jac: 1.0000
Trans dsc: 0.4905, Raw dsc: 0.3816, Time: 0.0645, Jac: 1.0000
Trans dsc: 0.5606, Raw dsc: 0.3015, Time: 0.0640, Jac: 1.0000
Trans dsc: 0.5424, Raw dsc: 0.2839, Time: 0.0653, Jac: 1.0000
Trans dsc: 0.5369, Raw dsc: 0.2905, Time: 0.0636, Jac: 1.0000
Trans dsc: 0.5273, Raw dsc: 0.3068, Time: 0.0640, Jac: 1.0000
Trans dsc: 0.5616, Raw dsc: 0.2621, Time: 0.0635, Jac: 1.0000
Trans dsc: 0.5238, Raw dsc: 0.3148, Time: 0.0639, Jac: 1.0000
