vxm_2_max_bpca_mse_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.971882943279131,0.7350803545922475,0.6368299452886257,0.703109084394864,0.14386459599626805,0.7570121878127091,0.8445661356542304,0.7875939020394527,0.7314583551618434,0.7680844452281245,0.6596194491550045,0.7296862400253972,0.7380228122851278,0.8729722823998958,0.7671325132453843,0.753609899716686,0.642188622598313,0.4838513072282065,0.8016906868059239,0.0,0.034274193202881116,0.73193170861407,0.6145211000715591,0.7711312290502026,0.20100502260043943,0.7668140561399083,0.8579031265543359,0.8383101292182861,0.725833332577257,0.7803808942107158,0.7230855631471905,0.7692307685674106,0.7882750827772829,0.49471721258721435,0.7872180445208887,0.0,0.24578790760263675,0.0,0.009400704942412397,0.0,0.3211009100664929,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_1,0.9679914768300449,0.7207205326657873,0.5813856002057909,0.4263401038158392,0.13836477813377637,0.7491581316915956,0.8208314416745035,0.8349339731718017,0.5792610242626659,0.6744423627835499,0.7165691993829061,0.6183618334007117,0.5576131675769277,0.8452211586838428,0.6131788828207568,0.5566061830907074,0.5483723037672062,0.22335890687673568,0.731699372419429,0.0,0.13422818611774248,0.696615997761146,0.5467155974039187,0.5216337042345732,0.0,0.742592930432846,0.8036669516439858,0.8252130563192298,0.7727444785201962,0.6560283682127408,0.6331828430527034,0.5708839163530812,0.6065857870597033,0.28320140472118377,0.7323055354482257,0.0,0.08533333257481482,0.0,0.0,0.0,0.17715617302666264,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_2,0.9706573555652773,0.715280360511379,0.5720077285205591,0.8315076745607758,0.2998454381773923,0.7235664823456088,0.7860928711767843,0.8791090173294529,0.7579182979765884,0.8364606916560493,0.7713114738292798,0.6730769203803008,0.696942034009717,0.9085611447581521,0.7475197025984982,0.7790604005931264,0.6318271095016617,0.49135446331877186,0.8091848832323463,0.2545454082644712,0.3725973367540792,0.7289334619743438,0.5801672127642741,0.7991228429810406,0.38255546761625503,0.7495309566527175,0.8288595787268845,0.8677576738830262,0.7560948199572016,0.8037353333835618,0.7757245656959258,0.7323943655443088,0.7080587919207836,0.6400570161079329,0.8300754451045307,0.09999998333333611,0.2965675043635354,0.0,0.00476417339321499,0.0,0.41558440958752657,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_3,0.96977056097027,0.7057946637356927,0.6124213577658509,0.7304815226291236,0.20571428336326533,0.7690124583267562,0.8399315458708422,0.8078598885912602,0.7208773011371019,0.7434767395988271,0.6990424064653858,0.7548155378556463,0.6478768762323811,0.848454708881444,0.7060107580057607,0.7784129870148343,0.6337975136100958,0.47403461734996927,0.8035879541513576,0.039999992000001594,0.08133333279111112,0.724911272808127,0.6124935691511749,0.7567243956567353,0.13118279428835705,0.752331703914351,0.8457292874506546,0.8641348677312903,0.7471904614998628,0.7435488542015448,0.7457742859044318,0.6919118206529596,0.8047214727589119,0.46452476262031617,0.7686822584364787,0.1538461242603607,0.23718280560754632,0.0,0.0,0.0,0.10068649655179643,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_4,0.9726521971860518,0.7140006805346305,0.5875097731060633,0.8137418752025339,0.35807859871093234,0.754719013179654,0.8284199908731363,0.8819455980932106,0.8020369181387181,0.7330325069223387,0.7355816208807878,0.756019987478328,0.699102690530204,0.8843737658605783,0.6485347243591583,0.7435246299047115,0.723090274639365,0.4164037822050175,0.8039146527914701,0.0,0.3878676434938636,0.6996795400821797,0.5892329566889866,0.7610022668676226,0.3747609906810613,0.7694723263697997,0.8339085792314687,0.8832337028845809,0.7924198967804266,0.7336701876585483,0.7495732729832401,0.635931934471773,0.7093810427722896,0.44661776327124886,0.8081832164314445,0.0,0.3006134946271971,0.0,0.002531645537574107,0.0,0.45531913924852896,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_5,0.9705393976241257,0.6994992493351205,0.5776098252157125,0.7202511457443437,0.21365638531215436,0.7778254340612734,0.8420235640861884,0.8266831139029829,0.7944389265213022,0.7372964163377065,0.7809687081419445,0.6962962937174211,0.7143493745223944,0.893465321180656,0.6815743867632854,0.7730177496496622,0.6037428779343251,0.362968402917205,0.8265413588053623,0.1851851508916387,0.04622222181135803,0.7047776636564265,0.5754222798782661,0.7138530562457358,0.11825192650061792,0.7985708870246925,0.8378776566725988,0.8303518769263063,0.7576408777965128,0.7561092471201811,0.7725097851837543,0.6973596250857623,0.7657374083504106,0.45178691536219207,0.8149231888036063,0.045454535123969284,0.08080808026391866,0.0,0.005976095558007016,0.0,0.3571428500566895,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_6,0.9673525533724635,0.6663221115170587,0.5518419156451405,0.7448999566369474,0.13150684751360484,0.7539693432271861,0.7874399255343756,0.7965312817615349,0.6415885537227571,0.7719887947973961,0.6854481939803302,0.6387989383609097,0.6384083031176291,0.8522585560391681,0.6186456928652928,0.6412593188587149,0.6329684461269528,0.39883833108578576,0.7748207952749273,0.1694914966963565,0.12348993205711455,0.67532166893536,0.5494103382213487,0.7418085411781581,0.33597883153467156,0.759913310447995,0.7675197243571412,0.8251604365722038,0.6117532539095349,0.7767060957445805,0.6822308675265222,0.6851797137516694,0.7333674495052009,0.6979655657436185,0.7816170789834374,0.0,0.27981414414138284,0.0,0.0023952095521531792,0.0,0.20161289916103026,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_7,0.9706742701632101,0.7038658581711031,0.5558396820465231,0.6923033030796467,0.16307692056804737,0.770373846193656,0.8003159062711642,0.8460423928918474,0.7299176097709609,0.7033381185361288,0.7460786525435812,0.5839267518620206,0.6264274044958471,0.8551130167789968,0.7227976610370243,0.632956571585495,0.6307464130956678,0.3048264157084978,0.7642035545798157,0.0,0.3624595430155389,0.7300262259585337,0.5763932983280987,0.7233797033634337,0.23486682524374305,0.7818091057505164,0.8234190389029715,0.8788966130977256,0.820525977138517,0.7871661646275033,0.7824739969407525,0.6920610968394673,0.6781137860632656,0.34639926758068124,0.8093525172577766,0.23076918639054106,0.27410358347327823,0.0,0.0,0.0,0.403773577287291,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_8,0.9675120789076127,0.7027221864647507,0.5625764382460552,0.6613795463546387,0.2605809107005734,0.7590626679812478,0.839090851457811,0.7759980402762684,0.6989136641521857,0.6917235555022447,0.5712632583003602,0.7273378691245508,0.745961819482449,0.8907570674986331,0.6970528359172911,0.65757711073407,0.5961773054242484,0.5353345807671384,0.7209165682131929,0.0,0.20999999825000001,0.7079055718828725,0.5746748000851346,0.6564413789481702,0.19770114715286038,0.7580587347946046,0.8389968017567141,0.7435806529533651,0.6816043012753705,0.6562891108758689,0.556191178157979,0.6672585221348912,0.7223292641354544,0.5654578944962637,0.6788976852322642,0.0,0.22051639762375158,0.0,0.013437849793529117,0.0,0.3811129783960712,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
p_9,0.9597902737946835,0.6762065391353832,0.5118117840894751,0.7254242391993613,0.4117647028546713,0.733982721419962,0.7973499554196012,0.7187230804566896,0.419442334361026,0.7487288824432271,0.6834547332290224,0.6082890529048054,0.7017766482618938,0.8712607281274459,0.7345818210269812,0.7008993307197582,0.33106413353255415,0.5868358399140695,0.7953031305835251,0.35294112456748167,0.29435084095960934,0.6737048596740449,0.5209966476661028,0.6889369540738238,0.3874643856245755,0.7513379374080371,0.8177019154798854,0.7571365828078961,0.42766228210897084,0.7682065431775542,0.669788181338265,0.7297730048697627,0.7232253259381021,0.6918428950767153,0.8043638743299452,0.14814812071331096,0.33112582659629936,0.0,0.0,0.0,0.5658807133719734,0.0,0.0,0.0,0.0,0.0,1.453218005952381e-07
