vxm_2_max_mse_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.971546114321029,0.7349078256040855,0.6383686563309571,0.7003380006275529,0.15320334048463313,0.756109585004552,0.8409430791720706,0.7849198700477625,0.7182189710494526,0.7510568336065001,0.6374133937867945,0.7325102850513979,0.7363447349530434,0.8750875627467541,0.7700890992005254,0.7591413051211576,0.6247703027388081,0.4538226271937454,0.796408435444833,0.0,0.040983606137463054,0.7305469373049278,0.6081880666416369,0.7712112343178086,0.21428571155247816,0.7646067413940527,0.8547594818493475,0.8406355316125973,0.7422722197808126,0.7915189007835819,0.7295716159094705,0.7735491641350533,0.7885511409173483,0.4656679121993264,0.787928957865797,0.0,0.26764705751153406,0.0,0.007050528706809299,0.0,0.3291139157186351,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9677610087481531,0.7217618026251862,0.5829930857745389,0.421856977781245,0.12169312008342434,0.7630231161438141,0.8192524850879095,0.8451550481973853,0.5854430372027386,0.6631464247228678,0.6792083075069405,0.6813702455121058,0.5848940099096646,0.8517839467733545,0.6411255816701915,0.5480943724446606,0.5818864355613025,0.22817631609182096,0.7794117640471503,0.0,0.19490254580356003,0.695341645167886,0.541548683805833,0.5010364224896088,0.0,0.7455508815835724,0.8062096075150771,0.8202452663402295,0.7507411057920688,0.6979027213762582,0.6749576018938052,0.5679918444770725,0.6194291421646742,0.26880811268970317,0.7179987574576433,0.0,0.051327433174093516,0.0,0.0,0.0,0.21298700745488294,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.970156984038076,0.7165248994880872,0.5744574306468708,0.8356593560112292,0.2872421674007474,0.7242535194873256,0.7849692371575504,0.878600822614834,0.7577792693555191,0.8337380598723182,0.7593448115091458,0.6711891433711527,0.6969488398785298,0.9078497124096889,0.7397058816730645,0.7639600734719177,0.6565538675357686,0.5129342164602053,0.7980531117769165,0.2033897960356278,0.38703339692026817,0.7239341929271386,0.5687176398102881,0.7978146596590312,0.43706563369061285,0.7530501285728648,0.8258503000451741,0.8687963195150543,0.7701445693487117,0.8000647557066013,0.7760314326600561,0.7326750282602303,0.7328818642265316,0.6055312910805583,0.8238021631257065,0.10714283801020749,0.2940092152349805,0.0,0.004768717192328483,0.0,0.4097421144736087,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9689508006097877,0.7056078074763364,0.6117708602976065,0.7272248086061562,0.20529801097905065,0.768114901072863,0.8391089994843617,0.8044524665616072,0.7277578237785964,0.7435826274846797,0.700341295733206,0.7522689050343901,0.5966587101217942,0.8390999414320426,0.7032083488958575,0.794979077649979,0.629422716463975,0.44604316255040444,0.7998567842464327,0.03571427933673583,0.0801050552849307,0.7214948858401287,0.6032427856366983,0.7513736845630303,0.12605041884400822,0.7302626927246406,0.8345219124207315,0.8640962533661033,0.7494199528717905,0.7424362764514144,0.7474024855264819,0.6976673499751787,0.8029496091705253,0.4402935260820979,0.7654952071242491,0.15686271434064425,0.2911327509424257,0.0,0.0,0.0,0.10304449407389944,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9725839740276611,0.7133622989682595,0.5944845869153693,0.8048001456448256,0.34611171581476763,0.7515217985326235,0.8214643523854307,0.8723946780086504,0.8113111833485783,0.7379964973384974,0.7488383449527064,0.7590673542354605,0.6927442223495254,0.8885567658434218,0.6434376263272678,0.7490102909764838,0.7291576642368999,0.4104660636920191,0.8082191773632635,0.0,0.38112522340176747,0.6940797667881141,0.5797835926798719,0.7454107384434312,0.3692003912221087,0.7631600992032281,0.827162392535547,0.8719853692582094,0.774756796240014,0.6989847245047245,0.741763564094565,0.618503427786442,0.7069383777124252,0.44921552065057374,0.7890525542925508,0.0,0.301829265992155,0.0,0.002531645537574107,0.0,0.4439655076731572,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9699176204309372,0.6976785213498272,0.5790600048069198,0.7046827043338864,0.18006430675172233,0.7557700038183165,0.823584511536336,0.8134749732924323,0.7795479797708436,0.7582345184797147,0.7812971325548436,0.6943533672336853,0.7012005320115595,0.892877474714897,0.6411896646662876,0.7497084190582962,0.5940274390878634,0.31890331660242915,0.8138641373221089,0.1355931973570852,0.03307223643975425,0.697367621120827,0.5627402273928245,0.6986657617036037,0.12713936274890755,0.7694876284296344,0.8219524531572324,0.8267008981797666,0.7241708414171191,0.738390216019191,0.7659480845447689,0.6882801368113596,0.7499440323484575,0.41811846398523717,0.8096936287812501,0.08888886913580685,0.07639836237108893,0.0,0.007952286203257592,0.0,0.33333332655826575,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9673468189547952,0.6648245065523832,0.5587890795369511,0.7309186513632937,0.09338521279656015,0.7496145613480878,0.7781536537873388,0.7855101031121192,0.6290645314794091,0.7543155726842254,0.6600425818309852,0.6337496351038349,0.5991266362464485,0.8507656370186407,0.5779825501637266,0.5969655155945779,0.6194462311028776,0.3607532174355479,0.7588220565956268,0.032786879871003295,0.09426229443809908,0.6720320331280196,0.5421738765714499,0.743413989287549,0.31834750524486627,0.7469648713519875,0.7599940071288527,0.8256146929862671,0.6424695518600392,0.7763133802157117,0.6927152302589068,0.6635772030530692,0.7293879597132322,0.6656076198124892,0.773482535797319,0.0,0.26763485338363663,0.0,0.002392344468991095,0.0,0.17142856793002922,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9707063818876183,0.705409506740032,0.5634517924235387,0.6964316102022854,0.12820512615055887,0.7776059547669629,0.798300696327726,0.8566490218987528,0.7855832230857362,0.7367292218617255,0.7890238398807381,0.6040777591082135,0.6284167777309424,0.8579480983752519,0.7051295276033341,0.6584081738668065,0.6248785198013677,0.3319076105054952,0.7880941796640656,0.0,0.36403995156448443,0.7265612112852659,0.5692124387401986,0.7191440576237779,0.21271393382990303,0.7533939631597748,0.8160655160701995,0.8839550355774537,0.8024163090832919,0.7700258390826635,0.7905346170233686,0.6917093524077885,0.6804915497171234,0.38640428992482745,0.8043829703571197,0.27272721074381573,0.2792862662584463,0.0,0.0,0.0,0.38554216093288834,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9674565109729574,0.7005911914732209,0.5625880539811788,0.661589859162037,0.2353909445646836,0.7583100262954953,0.841885032192237,0.7738526270800212,0.6946484776790854,0.66823714121065,0.5711534747329993,0.711731041803537,0.7446692167948438,0.8904231961707285,0.6849780793728388,0.6348352373126313,0.590598631616719,0.5057766334674157,0.7155841271591044,0.0,0.2427745644692439,0.7032838930784726,0.5689767041993344,0.6447268379250968,0.20790960217051296,0.7566252286892586,0.8360533207288319,0.742142172068946,0.6936887314751748,0.6341150010969202,0.5596143138149188,0.6718806178785683,0.7119658104445176,0.5511713899434563,0.6734616257142606,0.0,0.20889487729855205,0.0,0.011223344430714429,0.0,0.3252595099436071,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.959410215839114,0.6744943595788934,0.5102293682715758,0.7211909018107375,0.404864088663347,0.7242829602417539,0.7933286646758423,0.713536094190465,0.4010964907882714,0.7362246999287694,0.6755518519876055,0.6026461788249121,0.693697477534249,0.8689087163953816,0.7261508318059248,0.6743362811966481,0.31939437520045283,0.578446905083622,0.7834480436600235,0.38095232048375866,0.29863813084319973,0.66963868822493,0.5151054561826245,0.6858517032235533,0.3947244446786413,0.7505030783149111,0.8156332638823193,0.7559661273749224,0.43673082945542147,0.7802296223595557,0.6802096970724996,0.7393802385425448,0.7351077294420589,0.6814579977697465,0.802488335268488,0.14814812071331096,0.30769230657586244,0.0,0.0,0.0,0.5387647761003315,0.0,0.0,0.0,0.0,0.0,0.0
p_10,0.9684147143563356,0.7260162878983848,0.5624168960974425,0.8206930428066761,0.23441396216441446,0.7692432080721099,0.8299908427528894,0.8722851497078431,0.7400505780113795,0.7522222215257202,0.7915885888161803,0.7172573161893016,0.7274710872191336,0.857575408373089,0.7587834763878498,0.6658176243866082,0.6574190808851657,0.3821339918764765,0.7645463288436903,0.03703703017832774,0.22326307397921097,0.7148644335390518,0.5567816778475552,0.8123692583845524,0.4034582093808049,0.7543305093553342,0.8197133948671582,0.8811376737690289,0.7141122167669272,0.8068255580016456,0.7359342900699501,0.7373682290645509,0.763523954756507,0.4224072640241691,0.7602421258353872,0.0,0.247954686922878,0.0,0.0,0.0,0.17228464096845242,0.0,0.0,0.0,0.0,0.0,0.0
p_11,0.9672119486015991,0.6937582676369451,0.5641992273346322,0.7311894450983357,0.12129379890439625,0.7606476689055488,0.8255422335426686,0.8069517236927163,0.7596140389321577,0.6910316220053295,0.6244380861780996,0.6864431898948585,0.6867737931105715,0.8867943479396647,0.7386452616105665,0.6283414756299469,0.5978562898060488,0.13817537521545284,0.7806044043191016,0.0,0.3035971201180063,0.7114834334836585,0.5522237300123387,0.7922713757683724,0.27021494093945814,0.7349530800513273,0.8259814687852034,0.8689841134480426,0.8005508942023903,0.7706910309849276,0.7458149763308041,0.7547819426599255,0.7411937359559839,0.26992896393110527,0.7964205809702112,0.0,0.3797327373066106,0.0,0.011940298329249279,0.0,0.054736840952908615,0.0,0.0,0.0,0.0,0.0,0.0
p_12,0.971673660540104,0.7334056365809923,0.613130882590487,0.7781888650554136,0.23325634834576967,0.7262966955764544,0.787005076088866,0.8157556856127313,0.8031099421779349,0.7031065083556904,0.6011999987976,0.4626593785853398,0.6225020514029508,0.868962021971277,0.6850109884087816,0.6402995538490532,0.5171035072540937,0.4752747220104758,0.7474928897264684,0.0,0.06846846785163542,0.7509780551359486,0.6221739540148504,0.7756699188787608,0.14130434590619095,0.7455210047504321,0.812228203484968,0.8066256142027659,0.7927982903134999,0.7012891878836147,0.640715215793043,0.694428346142538,0.6547376969200128,0.37258566746052546,0.7279026902116457,0.0,0.1798606701718767,0.0,0.004048582954973857,0.0,0.3545816662433931,0.0,0.0,0.0,0.0,0.0,0.0
