Best model: dsc0.688.pth.tar
Trans dsc: 0.5205, Raw dsc: 0.3356, Time: 0.1906, Jac: 0.0000
Trans dsc: 0.4551, Raw dsc: 0.3376, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5542, Raw dsc: 0.3095, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5132, Raw dsc: 0.3019, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5351, Raw dsc: 0.3095, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.5070, Raw dsc: 0.2942, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.4889, Raw dsc: 0.2707, Time: 0.0633, Jac: 0.0000
Trans dsc: 0.5199, Raw dsc: 0.3234, Time: 0.0638, Jac: 0.0000
Trans dsc: 0.4926, Raw dsc: 0.2786, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.5147, Raw dsc: 0.3023, Time: 0.0647, Jac: 0.0000
Trans dsc: 0.5253, Raw dsc: 0.3437, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5016, Raw dsc: 0.3116, Time: 0.0639, Jac: 0.0000
Trans dsc: 0.4920, Raw dsc: 0.3457, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.5065, Raw dsc: 0.3465, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5443, Raw dsc: 0.3101, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5154, Raw dsc: 0.2783, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.4940, Raw dsc: 0.3816, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5596, Raw dsc: 0.3015, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5326, Raw dsc: 0.2839, Time: 0.0641, Jac: 0.0000
Trans dsc: 0.5393, Raw dsc: 0.2905, Time: 0.0641, Jac: 0.0000
Trans dsc: 0.5242, Raw dsc: 0.3068, Time: 0.0646, Jac: 0.0000
Trans dsc: 0.5529, Raw dsc: 0.2621, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5155, Raw dsc: 0.3148, Time: 0.0646, Jac: 0.0000
Trans dsc: 0.4858, Raw dsc: 0.2837, Time: 0.0639, Jac: 0.0000
Trans dsc: 0.5212, Raw dsc: 0.2747, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5716, Raw dsc: 0.2826, Time: 0.0641, Jac: 0.0000
Trans dsc: 0.5313, Raw dsc: 0.3398, Time: 0.0640, Jac: 0.0000
Trans dsc: 0.5313, Raw dsc: 0.3162, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5068, Raw dsc: 0.2558, Time: 0.0646, Jac: 0.0000
Trans dsc: 0.4856, Raw dsc: 0.2774, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.5512, Raw dsc: 0.2819, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.5343, Raw dsc: 0.3119, Time: 0.0881, Jac: 0.0000
Trans dsc: 0.5041, Raw dsc: 0.3130, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.5153, Raw dsc: 0.3172, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5197, Raw dsc: 0.2979, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.5311, Raw dsc: 0.2632, Time: 0.0641, Jac: 0.0000
Trans dsc: 0.5462, Raw dsc: 0.3075, Time: 0.0630, Jac: 0.0000
Trans dsc: 0.5123, Raw dsc: 0.3329, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.4673, Raw dsc: 0.3184, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.5202, Raw dsc: 0.3247, Time: 0.0632, Jac: 0.0000
Trans dsc: 0.5597, Raw dsc: 0.3013, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5114, Raw dsc: 0.3109, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.4542, Raw dsc: 0.2891, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5390, Raw dsc: 0.2980, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.4961, Raw dsc: 0.2778, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.4966, Raw dsc: 0.2608, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.5391, Raw dsc: 0.2952, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.5288, Raw dsc: 0.2904, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5453, Raw dsc: 0.2971, Time: 0.0646, Jac: 0.0000
Trans dsc: 0.5681, Raw dsc: 0.3392, Time: 0.0649, Jac: 0.0000
Trans dsc: 0.5145, Raw dsc: 0.2946, Time: 0.0641, Jac: 0.0000
Trans dsc: 0.5462, Raw dsc: 0.2877, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.5397, Raw dsc: 0.3076, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.5339, Raw dsc: 0.3637, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5260, Raw dsc: 0.2783, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.4969, Raw dsc: 0.2535, Time: 0.0630, Jac: 0.0000
Trans dsc: 0.4936, Raw dsc: 0.2746, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5088, Raw dsc: 0.2773, Time: 0.1029, Jac: 0.0000
Trans dsc: 0.5171, Raw dsc: 0.2890, Time: 0.0840, Jac: 0.0000
Trans dsc: 0.4880, Raw dsc: 0.2733, Time: 0.0675, Jac: 0.0000
Trans dsc: 0.4901, Raw dsc: 0.2958, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5567, Raw dsc: 0.2776, Time: 0.0647, Jac: 0.0000
Trans dsc: 0.5458, Raw dsc: 0.2858, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.4887, Raw dsc: 0.2747, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.4938, Raw dsc: 0.2999, Time: 0.0641, Jac: 0.0000
Trans dsc: 0.4744, Raw dsc: 0.3134, Time: 0.0649, Jac: 0.0000
Trans dsc: 0.5263, Raw dsc: 0.2698, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.4910, Raw dsc: 0.3039, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5637, Raw dsc: 0.2955, Time: 0.0629, Jac: 0.0000
Trans dsc: 0.5766, Raw dsc: 0.2644, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5201, Raw dsc: 0.3112, Time: 0.0656, Jac: 0.0000
Trans dsc: 0.5532, Raw dsc: 0.2903, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5524, Raw dsc: 0.3060, Time: 0.1018, Jac: 0.0000
Trans dsc: 0.5158, Raw dsc: 0.3185, Time: 0.0823, Jac: 0.0000
Trans dsc: 0.5169, Raw dsc: 0.3273, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.5184, Raw dsc: 0.2640, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5262, Raw dsc: 0.3136, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.4950, Raw dsc: 0.3152, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.4942, Raw dsc: 0.3927, Time: 0.0629, Jac: 0.0000
Trans dsc: 0.5227, Raw dsc: 0.2911, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5318, Raw dsc: 0.2904, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.4370, Raw dsc: 0.3062, Time: 0.0630, Jac: 0.0000
Trans dsc: 0.4997, Raw dsc: 0.2741, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5085, Raw dsc: 0.2417, Time: 0.0645, Jac: 0.0000
