vxm_2_mse_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9718540704124814,0.7351891153908561,0.6398911891232412,0.7017526630164698,0.16071428332270413,0.7623225804663172,0.8465442465106245,0.7862293348635995,0.7057930129032404,0.7571563378757814,0.6382142845746174,0.7277127844787705,0.7492412732374027,0.8841256636886355,0.7781032888774561,0.7712569298261162,0.6383442242616404,0.5086633631889643,0.7984393501021115,0.0,0.05411030120592819,0.7305786650170605,0.610720544293697,0.7672345231395779,0.21382007543911244,0.7581404101359541,0.8519929011632157,0.8403805492790791,0.7140753200988057,0.7751217678717709,0.7073311512269942,0.782504287493564,0.7945205461609689,0.5242839319783068,0.7998485416131401,0.0,0.25172754071210496,0.0,0.007050528706809299,0.0,0.3341523259422033,0.0,0.0,0.0,0.0,0.0,0.0
p_1,0.9678843418111521,0.7206147864795702,0.5808733766526829,0.42699583636915067,0.10054347689478972,0.7586190851071002,0.8240430210224614,0.8272983298997695,0.5715036795853001,0.6514508733654752,0.6632792638982231,0.6193129033458082,0.5836999778258958,0.8524935572938793,0.6084354786136131,0.5332278466950742,0.5478821337574487,0.20851433354896323,0.7335913827553086,0.0,0.1684210504155125,0.696943721953287,0.5439854917463124,0.5224409741853806,0.0,0.7510190901337895,0.8057439966442927,0.8201353815299585,0.7585681635458642,0.6630814729200668,0.6207160623765727,0.5896254750754802,0.6461765413174907,0.2764811465306899,0.7442975053303474,0.0540540394448542,0.07839721186065146,0.0,0.0,0.0,0.1899736097632293,0.0,0.0,0.0,0.0,0.0,0.0
p_2,0.9708031435452545,0.718300353267486,0.5783923334602978,0.837761045305526,0.3091190084303013,0.7221160301900821,0.7852783238368733,0.8794298154427689,0.7638503377774505,0.8305620887090907,0.7845934363468648,0.6955140901329333,0.701881657896437,0.9088170863723957,0.7409926463777641,0.7780806958067592,0.6567514651399159,0.5184049039999624,0.8174354627021283,0.19672127922601979,0.39980109199502195,0.7271702611058292,0.5771775905977509,0.800098614948392,0.40156862430142254,0.7519339596199746,0.8285791903765444,0.8634247279547725,0.7583576388171891,0.7857543010918333,0.7575996826735103,0.7415630544035853,0.7254652033508406,0.6181015407056546,0.8342574419224964,0.06896550535077493,0.28821362666568306,0.0,0.00381315536790679,0.0,0.5211459683336157,0.0,0.0,0.0,0.0,0.0,0.0
p_3,0.9695478941869864,0.7059838060036432,0.6147568469516645,0.7285055597466298,0.20399112855885668,0.7653462715703897,0.8392873056019056,0.8056131257316006,0.7066514468126477,0.7480595757303269,0.6959482453252499,0.764983162407464,0.5885568502395101,0.8441537395082344,0.6898818368496112,0.794659298354836,0.6116788298843838,0.49333333004444446,0.7984534969582204,0.03636362975206731,0.1189044748236174,0.7223831393772734,0.607339557423415,0.7504253144137354,0.129870128464609,0.7145572024148239,0.8269529165963395,0.8660844246424289,0.7448030085678053,0.7491078575856763,0.7281943703405098,0.7023051253394714,0.8102265624397702,0.4912516790629093,0.7684456724300477,0.16326527280300554,0.29466118945245795,0.0,0.0,0.0,0.1306306276884994,0.0,0.0,0.0,0.0,0.0,0.0
p_4,0.9728615904411071,0.7166979652931446,0.5973947558926227,0.8108482716638107,0.3544018018690542,0.7467441667132552,0.8223362641721973,0.8734825699557398,0.7918638853884306,0.7296065475494312,0.7347643702571813,0.7493333300029629,0.6774193534729449,0.8869151636934233,0.650321542754902,0.7601360168450535,0.7136824294185707,0.416267939264211,0.8041908779677841,0.0,0.3719676516444955,0.696531675701682,0.5843827982250492,0.7511602585508736,0.3758262476314802,0.7604921622674048,0.8265506275597289,0.8799267771409377,0.7819209029731062,0.7276422757505153,0.7575609737620465,0.6301943192524222,0.7104360590141203,0.4486442033800805,0.8086964424554749,0.0,0.28314606529478603,0.0,0.0025252524933680244,0.0,0.44776118448270397,0.0,0.0,0.0,0.0,0.0,0.0
p_5,0.9702767723039972,0.6994643806711788,0.5837485931036092,0.7186121135586582,0.19325842479484917,0.7718904473555402,0.8370036249003927,0.8191825400501663,0.7744416863840674,0.7435367962802207,0.7784456831720789,0.7070181926958106,0.6999340499012222,0.896121336456889,0.657456249972824,0.7246716680941097,0.594358360769335,0.39971243422205294,0.8202210656532664,0.1355931973570852,0.028318583820189525,0.6979001689150542,0.5644194450164564,0.6993934580242653,0.12010443707435461,0.7782026766516791,0.8267522341598325,0.82847672249123,0.7215752182475985,0.7421818468187299,0.772268537138507,0.6832746177795046,0.7234140698421822,0.47393364608034094,0.8110539839242819,0.09090907024793857,0.07824296445955413,0.0,0.009940357754071991,0.0,0.3373983671260495,0.0,0.0,0.0,0.0,0.0,0.0
p_6,0.9674777104275055,0.6665593722442493,0.5599750056197521,0.7371594109234422,0.09849521069089999,0.7507908126459472,0.7814910025202174,0.7881305634084419,0.6371308008970826,0.7658737584136789,0.6737138814336061,0.6170275864223447,0.578616350946397,0.8488936300545624,0.592318910459583,0.6098630120277725,0.6366214918480255,0.409950244677112,0.7697114192471336,0.17241376337693734,0.09979494121807969,0.6719976727236963,0.5425877289457861,0.7414459494928818,0.2992125950594759,0.7532916035318388,0.7659510817817899,0.8201099760309751,0.6649861953367109,0.7746453248684564,0.6706746812053559,0.6583300505530425,0.7396434829534434,0.6596066515914777,0.77279648048317,0.0,0.25992779649341,0.0,0.0023980815060182076,0.0,0.16173569700718546,0.0,0.0,0.0,0.0,0.0,0.0
p_7,0.9706826790121615,0.7044696692568528,0.5598378416072965,0.6890841496625638,0.1375186825483007,0.7754566447681459,0.7979227377420667,0.855303395646063,0.7302158264000311,0.7231668909373218,0.7875366882196057,0.6047904161437604,0.6297297280277575,0.8623510677606927,0.6974859747584813,0.6550351984847407,0.5952952443816838,0.31623931353641616,0.7917182792499396,0.0,0.3182320406825189,0.7295171708374846,0.573952699344357,0.7218496514518429,0.21621621355999737,0.7574171954746693,0.8184094169410553,0.880885806464106,0.820453373492461,0.7811128028123709,0.7920704828368492,0.6932555726711922,0.6817248442460861,0.3626373593165077,0.8208592264965692,0.2399999520000096,0.2634920614008567,0.0,0.0,0.0,0.38041430545359123,0.0,0.0,0.0,0.0,0.0,0.0
p_8,0.9679250519536067,0.7035357596466376,0.565467003939535,0.6713882419536485,0.2358887932949554,0.7702190497735123,0.8434219985136782,0.7797563257634508,0.6861584862673645,0.6870795633750255,0.5755007693075871,0.7264802007755895,0.7580586730205384,0.8942953528714258,0.70874400876323,0.629380052494654,0.5969672761493724,0.5327225096026014,0.7266374241865754,0.0,0.2715627645468594,0.7066362487916117,0.5752607683335993,0.6473937797594208,0.2142857118169849,0.754045071742948,0.8340521193342177,0.7422344430480525,0.6770681325883173,0.618255640963336,0.5206301565629592,0.6875502001896027,0.7314211196622749,0.5654320952751105,0.6907904713315199,0.0,0.20341296789479202,0.0,0.011235954929933092,0.0,0.392727265586777,0.0,0.0,0.0,0.0,0.0,0.0
p_9,0.9600644215471292,0.6745785403436293,0.5114228560200874,0.7224225307676502,0.4020100473653263,0.7276859501984397,0.7978993195923718,0.7190515290910227,0.4248851952494148,0.7224135098193036,0.6542781281309412,0.6120634907681196,0.7132231390222663,0.8763402189719259,0.7097653580861013,0.6676242439884393,0.3207412675668522,0.5988790984877574,0.7699688571921818,0.35294112456748167,0.3033873328257863,0.6716093777062788,0.52119542955038,0.6788063530994153,0.3909561922234753,0.758422025907874,0.8205691434108782,0.7405552769484476,0.40311710151314545,0.7555006174243918,0.6502419695331237,0.7321776205319573,0.7173579090697442,0.6692546531890167,0.796116504204849,0.18181814876033658,0.31416247191170926,0.0,0.0,0.0,0.46283309308789494,0.0,0.0,0.0,0.0,0.0,0.0
