Best model: dsc0.690.pth.tar
Trans dsc: 0.5235, Raw dsc: 0.3356, Time: 0.1663, Jac: 0.0000
Trans dsc: 0.4502, Raw dsc: 0.3376, Time: 0.0435, Jac: 0.0000
Trans dsc: 0.5576, Raw dsc: 0.3095, Time: 0.0433, Jac: 0.0000
Trans dsc: 0.5158, Raw dsc: 0.3019, Time: 0.0452, Jac: 0.0000
Trans dsc: 0.5360, Raw dsc: 0.3095, Time: 0.0433, Jac: 0.0000
Trans dsc: 0.5111, Raw dsc: 0.2942, Time: 0.0434, Jac: 0.0000
Trans dsc: 0.4939, Raw dsc: 0.2707, Time: 0.0439, Jac: 0.0000
Trans dsc: 0.5160, Raw dsc: 0.3234, Time: 0.0454, Jac: 0.0000
Trans dsc: 0.4979, Raw dsc: 0.2786, Time: 0.0430, Jac: 0.0000
Trans dsc: 0.5110, Raw dsc: 0.3023, Time: 0.0449, Jac: 0.0000
Trans dsc: 0.5261, Raw dsc: 0.3437, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5074, Raw dsc: 0.3116, Time: 0.0449, Jac: 0.0000
Trans dsc: 0.4954, Raw dsc: 0.3457, Time: 0.0444, Jac: 0.0000
Trans dsc: 0.5060, Raw dsc: 0.3465, Time: 0.0454, Jac: 0.0000
Trans dsc: 0.5435, Raw dsc: 0.3101, Time: 0.0440, Jac: 0.0000
Trans dsc: 0.5210, Raw dsc: 0.2783, Time: 0.1009, Jac: 0.0000
Trans dsc: 0.4939, Raw dsc: 0.3816, Time: 0.0433, Jac: 0.0000
Trans dsc: 0.5610, Raw dsc: 0.3015, Time: 0.0450, Jac: 0.0000
Trans dsc: 0.5374, Raw dsc: 0.2839, Time: 0.0433, Jac: 0.0000
Trans dsc: 0.5342, Raw dsc: 0.2905, Time: 0.0452, Jac: 0.0000
Trans dsc: 0.5256, Raw dsc: 0.3068, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5523, Raw dsc: 0.2621, Time: 0.0448, Jac: 0.0000
Trans dsc: 0.5201, Raw dsc: 0.3148, Time: 0.0447, Jac: 0.0000
Trans dsc: 0.4790, Raw dsc: 0.2837, Time: 0.0439, Jac: 0.0000
Trans dsc: 0.5205, Raw dsc: 0.2747, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5758, Raw dsc: 0.2826, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5370, Raw dsc: 0.3398, Time: 0.0446, Jac: 0.0000
Trans dsc: 0.5243, Raw dsc: 0.3162, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5085, Raw dsc: 0.2558, Time: 0.0445, Jac: 0.0000
Trans dsc: 0.4851, Raw dsc: 0.2774, Time: 0.0432, Jac: 0.0000
